#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
    2126  120.842708   1.125814   51960.290023   51960.468731  95.000000   5.000000 120.845493  -1.054926
    2131  112.074588  24.698993   51961.100247   51961.149588  95.000000  60.000000 124.694025  -1.265829
    2134  202.561167  62.621161   51961.378901   51961.422023  95.000000  65.000000 192.977726  -1.265338
    2137  112.528470  25.675063   51962.098277   51962.207740  95.000000  60.000000 125.732360  -1.056767
    2140  122.435975  36.611356   51962.288341   51962.316951  95.000000  60.000000 139.553893  -1.266742
    2141  147.004610  -1.267638   51962.353152   51962.411201  95.000000   0.000000 147.004610  -1.267638
    2188  126.166888  -2.356219   51987.139635   51987.220903  95.000000  -2.500000 126.230688  -1.061046
    2189  165.938082  62.636878   51987.249988   51987.292280  95.000000  65.000000 176.365234  -1.053771
    2190  187.255724   3.935870   51987.320647   51987.472403  95.000000   5.000000 187.250787  -1.060269
    2206  217.535279  62.377228   51991.265337   51991.398850  95.000000  67.500000 199.443161  -1.264294
    2207  243.755176  49.328644   51991.420466   51991.485566  95.000000  67.500000 218.871264  -1.264160
    2243  124.398351  38.443961   52014.115337   52014.266264  95.000000  60.000000 141.958600  -1.265277
    2247  162.338888   3.346016   52015.112037   52015.246380  95.000000   5.000000 162.373805  -1.269004
    2248  230.735836  54.590344   52015.263750   52015.366580  95.000000  65.000000 209.521824  -1.265086
    2259  122.366524  -2.419031   52016.123599   52016.208185  95.000000  -2.500000 122.437979  -1.268301
    2298  151.385755  56.781975   52046.148882   52046.182883  95.000000  62.500000 167.342448  -1.053022
    2299  171.067856  60.714270   52046.191413   52046.323267  95.000000  62.500000 178.234992  -1.054148
    2304  167.291208  60.249311   52047.168520   52047.251447  95.000000  62.500000 176.316999  -1.055152
    2305  244.383876  42.738639   52047.268346   52047.333860  95.000000  62.500000 224.211147  -1.055199
    2326  168.273665  60.164668   52052.162904   52052.293100  95.000000  62.500000 176.765878  -1.265014
    2327  223.911343   0.679527   52052.303724   52052.339382  95.000000   2.500000 223.919379  -1.265782
    2328  242.197804  44.244288   52052.353128   52052.423203  95.000000  62.500000 222.034065  -1.264445
    2333  198.746315  -3.696234   52053.163300   52053.215129  95.000000  -2.500000 198.720585  -1.267685
    2334  197.447188  -3.498369   52053.223187   52053.337626  95.000000  -2.500000 197.425770  -1.057013
    2335  247.831476  42.614169   52053.355788   52053.414667  95.000000  65.000000 225.907792  -1.054968
    2379  214.081524  -3.451299   52075.162550   52075.230551  95.000000  -2.500000 214.031506  -1.265864
    2385  307.383472  -1.056251   52075.313848   52075.351165  95.000000   0.000000 307.383472  -1.056251
    2391  210.677196   5.497939   52076.164390   52076.258098  95.000000   7.500000 210.557234  -1.266639
    2392  242.892911  78.293250   52076.268859   52076.364639  95.000000  85.000000 194.898999  -1.265782
    2566  316.907778   8.854466   52170.167132   52170.306035  95.000000 -15.000000 317.647827  -1.268253
    2570   23.066450  -1.059955   52170.383021   52170.433193  95.000000   0.000000  23.066450  -1.059955
    2574  262.095922  54.527605   52171.138705   52171.184315  95.000000  82.500000 219.457471  -1.271273
    2576  327.809523  -9.269481   52171.248351   52171.308474  95.000000  10.000000 328.364715  -1.266568
    2578   37.365103  -1.056795   52171.359730   52171.422341  95.000000   0.000000  37.365103  -1.056795
    2579   43.422167  -1.266503   52171.449826   52171.490875  95.000000   0.000000  43.422167  -1.266503
    2582  249.098770  76.291972   52172.116847   52172.204335  95.000000  85.000000 197.310305  -1.057068
    2583  307.392195  -1.266432   52172.223192   52172.316484  95.000000   0.000000 307.392195  -1.266432
    2585  328.115615  -1.268312   52172.330758   52172.366416  95.000000   0.000000 328.115615  -1.268312
    2589   27.264146  -1.056928   52173.308021   52173.401314  95.000000   0.000000  27.264146  -1.056928
    2649  345.635937  -1.056939   52196.259196   52196.323466  95.000000   0.000000 345.635937  -1.056939
    2650    5.147814  -1.056778   52196.331923   52196.400339  95.000000   0.000000   5.147814  -1.056778
    2659  308.252126  -1.057700   52197.124896   52197.168847  95.000000   0.000000 308.252126  -1.057700
